bp0,bp1,id,generation,length,diameter,name,InArea,OutArea,InPeri,OutPeri
16,29,29,4,7.47153,4.34117,LB1,14.8014,46.6172,13.9961,24.4847
16,30,148,4,1.76917,4.23975,LB2,14.1179,35.7108,13.3196,21.1838
8,15,14,3,12.1523,6.43669,LB3,32.5398,75.7709,20.5584,31.1126
9,31,16,4,12.5423,2.94285,LB4,6.80184,22.3467,9.87427,17.2893
9,17,17,4,16.1591,3.58006,LB5,10.0663,31.7622,12.2261,20.6468
6,10,10,3,7.01367,5.96205,LB6,27.9178,68.8488,19.6824,30.0557
20,39,20,4,8.30854,3.72635,LB8,10.9058,33.9883,12.1722,21.1635
38,60,100,4,9.07402,3.03373,LB9,7.22841,28.0193,10.1026,19.1245
38,61,101,4,3.50495,2.60376,LB10,5.32465,20.5031,9.30604,17.2882
7,25,12,3,11.9498,3.62264,RB1,10.3072,32.9266,12.8111,21.8906
7,13,13,3,8.84533,4.86865,RB2,18.6169,50.4417,16.3263,25.7802
7,12,38,3,15.5523,6.10181,RB3,29.242,67.7014,19.4121,29.4541
72,96,105,4,7.44315,3.31648,RB4,8.63865,29.6778,11.2629,20.1747
72,95,104,4,26.664,4.00991,RB5,12.6287,36.4197,13.161,21.9829
26,49,58,3,7.80282,4.11854,RB6,13.3222,43.0393,14.7221,24.4778
131,136,57,4,17.9806,3.98267,RB7,12.4577,41.9626,13.4218,23.5301
143,145,81,5,10.7544,4.73152,RB8,17.5829,51.6821,15.3722,25.8317
144,192,86,5,11.4701,3.34602,RB9,8.79321,31.0899,11.6736,20.5828
144,146,87,5,8.58844,4.78064,RB10,17.9499,51.2682,15.3104,25.5908
